name	b_date	b_month	b_year	sun_sign	b_country	job
Keanu Reeves	2	September	1964	Virgo	Lebanon	television_actor,_film_actor,_actor,_film_producer,_film_director,_singer,_voice_actor,_musician
Leonardo DiCaprio	11	November	1974	Scorpio	United States	actor,_producer
Johnny Depp	9	June	1963	Gemini	United States	actor
Tom Cruise	3	July	1962	Cancer	United States	actor
Will Smith	25	September	1968	Libra	United States	actor
Robert Downey Jr.	4	April	1965	Aries	United States	actor
Brad Pitt	18	December	1963	Sagittarius	United States	actor
Heath Ledger	4	April	1979	Aries	Australia	actor,_photographer
Joaquin Phoenix	28	October	1974	Scorpio	Puerto Rico	actor
Jim Carrey	17	January	1962	Capricorn	Canada	actor
Harrison Ford	13	July	1942	Cancer	United States	actor
Sean Connery	25	August	1930	Virgo	Scotland	actor
Clint Eastwood	31	May	1930	Gemini	United States	actor
Matthew McConaughey	4	November	1969	Scorpio	United States	actor
Alan Rickman	21	February	1946	Pisces	England	actor
Hugh Jackman	12	October	1968	Libra	Australia	actor,_producer
Patrick Swayze	18	August	1952	Leo	United States	actor
Robert De Niro	17	August	1943	Leo	United States	actor
Benedict Cumberbatch	19	July	1976	Cancer	England	actor
Jake Gyllenhaal	19	December	1980	Sagittarius	United States	actor
Matt Damon	8	October	1970	Libra	United States	actor
Liam Neeson	7	June	1952	Gemini	Northern Ireland	actor
Morgan Freeman	1	June	1937	Gemini	United States	actor
Denzel Washington	28	December	1954	Capricorn	United States	american_actor
Samuel L. Jackson	21	December	1948	Sagittarius	United States	actor
Charlie Chaplin	16	April	1889	Aries	England	comic_actor
Tom Hanks	9	July	1956	Cancer	United States	actor
Al Pacino	25	April	1940	Taurus	United States	actor
Christian Bale	30	January	1974	Aquarius	Wales	actor
Mel Gibson	3	January	1956	Capricorn	United States	actor
Danny DeVito	17	November	1944	Scorpio	United States	actor
John Wayne	26	May	1907	Gemini	United States	actor
Michael Douglas	25	September	1944	Libra	United States	actor,_producer
Jamie Foxx	13	December	1967	Sagittarius	United States	actor
Jack Nicholson	22	April	1937	Taurus	United States	actor,_filmmaker
Bill Murray	21	September	1950	Virgo	United States	actor
Marlon Brando	3	April	1924	Aries	United States	actor
Gary Oldman	21	March	1958	Aries	England	actor
Ralph Fiennes	22	December	1962	Capricorn	England	actor
James Dean	8	February	1931	Aquarius	United States	actor
Paul Newman	26	January	1925	Aquarius	United States	actor
Charles Robert Redford Jr.	18	August	1936	Leo	United States	actor
Philip Seymour Hoffman	23	July	1967	Leo	United States	actor
Ian McKellen	25	May	1939	Gemini	England	actor
Kevin Costner	18	January	1955	Capricorn	United States	actor
Kirk Douglas	9	December	1916	Sagittarius	United States	actor
John Goodman	20	June	1952	Gemini	United States	actor
Christopher Walken	31	March	1943	Aries	United States	actor
Christopher Plummer	13	December	1929	Sagittarius	Canada	actor
Jeff Bridges	4	December	1949	Sagittarius	United States	actor
Russell Crowe	7	April	1964	Aries	New Zealand	actor
Tommy Lee Jones	15	September	1946	Virgo	United States	actor
Clark Gable	1	February	1901	Aquarius	United States	actor
Michael Caine	14	March	1933	Pisces	England	actor
Christoph Waltz	4	October	1956	Libra	Austria	actor
