Aaron Eckhart
Adam Beach
Adam Driver
Adam Sandler
Adolphe Menjou
Adrien Brody
Al Pacino
Alan Alda
Alan Arkin
Alan Bates
Alan Rickman
Albert Finney
Alberto Sordi
Alec Baldwin
Alec Guinness
Alexander Knox
Alfred Lunt
Andre Braugher
Andrew Garfield
Andy García
Andy Samberg
Ansel Elgort
Anthony Andrews
Anthony Franciosa
Anthony Hopkins
Anthony Quinn
Anthony Ramos
Antonio Banderas
Armand Assante
Arnold Schwarzenegger
Art Carney
Arthur Kennedy
Barry Fitzgerald
Barry Pepper
Beau Bridges
Ben Kingsley
Benedict Cumberbatch
Bill Murray
Bill Nighy
Bill Paxton
Billy Bob Thornton
Billy Crystal
Bing Crosby
Bob Hope
Bob Hoskins
Brad Davis
Brad Pitt
Bradley Cooper
Brendan Gleeson
Brian Cox
Brian Dennehy
Broderick Crawford
Bruce Dern
Bryan Cranston
Bud Cort
Burt Lancaster
Burt Reynolds
Cantinflas
Carl Anderson
Cary Grant
Casey Affleck
Chadwick Boseman
Chaim Topol
Charles Boyer
Charles Grodin
Charles Laughton
Charles S Dutton
Charlie Chaplin
Charlton Heston
Chester Morris
Chevy Chase
Chiwetel Ejiofor
Christian Bale
Christoph Waltz
Christopher Abbott
Christopher Reeve
Cillian Murphy
Clark Gable
Cliff Robertson
Clifton Webb
Clint Eastwood
Clive Owen
Colin Farrell
Colin Firth
Colm Meaney
Cooper Hoffman
Cornel Wilde
Courtney B Vance
Damian Lewis
Dan Dailey
Dan O'Herlihy
Daniel Brühl
Daniel Craig
Daniel Day-Lewis
Daniel Kaluuya
Danny DeVito
Danny Kaye
Darren Criss
David Carradine
David Niven
David Oyelowo
David Strathairn
Dean Jones
Dean Martin
Dean Stockwell
Demián Bichir
Dennis Quaid
Denzel Washington
Dev Patel
Dexter Gordon
Dick Van Dyke
Dirk Bogarde
Djimon Hounsou
Dominic West
Don Cheadle
Donald O'Connor
Donald Sutherland
Dudley Moore
Dustin Hoffman
Ed Harris
Eddie Murphy
Eddie Redmayne
Edward Albert
Edward James Olmos
Edward Norton
Elliott Gould
Emil Jannings
Eric Roberts
Ernest Borgnine
Ethan Hawke
Ewan McGregor
F Murray Abraham
Forest Whitaker
Franchot Tone
Frank Langella
Frank Morgan
Frank Sinatra
Fred Astaire
Fred MacMurray
Fredric March
Gary Busey
Gary Cooper
Gary Oldman
Gary Sinise
Gene Hackman
Gene Kelly
Gene Wilder
Geoffrey Rush
George Arliss
George Bancroft
George Burns
George C Scott
George Clooney
George Hamilton
George Segal
Giancarlo Giannini
Glenn Ford
Gregory Peck
Griffin Dunne
Gérard Depardieu
Harrison Ford
Heath Ledger
Henry Fonda
Henry Winkler
Hugh Bonneville
Hugh Grant
Hugh Jackman
Humphrey Bogart
Ian McKellen
Ian McShane
Idris Elba
Jack Black
Jack Lemmon
Jack Nicholson
Jack Weston
Jackie Cooper
Jake Gyllenhaal
James Brolin
James Caan
James Cagney
James Corden
James Dean
James Earl Jones
James Franco
James Garner
James Mason
James McAvoy
James Nesbitt
James Stewart
James Whitmore
James Woods
Jamie Foxx
Jan Niklas
Jared Harris
Jason Isaacs
Jason Robards
Javier Bardem
Jean Dujardin
Jeff Bridges
Jeff Daniels
Jeremy Irons
Jeremy Renner
Jerry Lewis
Jesse Eisenberg
Jim Broadbent
Jim Carrey
Jimmy Durante
Joaquin Phoenix
Joel Edgerton
John C Reilly
John Cameron Mitchell
John Cleese
John Cusack
John David Washington
John Garfield
John Gielgud
John Hawkes
John Hurt
John Lone
John Ritter
John Travolta
John Turturro
John Wayne
Johnny Depp
Jon Voight
Jonah Hill
Jonathan Pryce
Jonathan Rhys Meyers
Jonathan Winters
Joseph Gordon-Levitt
Joseph Schildkraut
José Ferrer
Judd Nelson
Jude Law
Karl Malden
Kenneth Branagh
Kevin Bacon
Kevin Costner
Kevin Kline
Kevin Spacey
Kiefer Sutherland
Kieran Culkin
Kirk Douglas
Kris Kristofferson
Kyle MacLachlan
Lane Smith
Larry Parks
Laurence Fishburne
Laurence Harvey
Laurence Olivier
Lawrence Tibbett
Lee Marvin
Leonardo DiCaprio
Leslie Howard
Lew Ayres
Lewis Stone
Liam Neeson
Liev Schreiber
Lin-Manuel Miranda
Linus Roache
Lionel Barrymore
Lionel Jeffries
Louis Calhern
Louis Gossett Jr
Louis Jourdan
Lucas Hedges
Macaulay Culkin
Mahershala Ali
Malcolm McDowell
Mandy Patinkin
Marcello Mastroianni
Mark Harmon
Mark Ruffalo
Mark Rylance
Mark Wahlberg
Marlon Brando
Martin Freeman
Martin Sheen
Massimo Troisi
Matt Damon
Matthew Broderick
Matthew McConaughey
Matthew Modine
Matthew Perry
Maurice Chevalier
Max von Sydow
Maximilian Schell
Mel Brooks
Mel Gibson
Melvyn Douglas
Michael Caine
Michael Douglas
Michael Ealy
Michael Fassbender
Michael Gambon
Michael J Fox
Michael Keaton
Michael Redgrave
Michael Stuhlbarg
Mickey Rooney
Mickey Rourke
Montgomery Clift
Monty Woolley
Morgan Freeman
Mos Def
Nathan Lane
Neil Diamond
Nick Nolte
Nicolas Cage
Nigel Hawthorne
Omar Sharif
Orson Welles
Oscar Isaac
Oskar Werner
Owen Wilson
Patrick Stewart
Patrick Swayze
Patrick Wilson
Paul Bettany
Paul Giamatti
Paul Hogan
Paul Le Mat
Paul Lukas
Paul Muni
Paul Newman
Paul Scofield
Paul Winfield
Peter Dinklage
Peter Falk
Peter Finch
Peter Fonda
Peter O'Toole
Peter Sellers
Peter Strauss
Peter Ustinov
Philip Anglim
Philip Casnoff
Philip Seymour Hoffman
Pierce Brosnan
Ralph Fiennes
Rami Malek
Randy Quaid
Raul Julia
Ray Milland
Ray Sharkey
Raymond Massey
Raúl Juliá
Rex Harrison
Richard Barthelmess
Richard Benjamin
Richard Beymer
Richard Burton
Richard Chamberlain
Richard Crenna
Richard Dix
Richard Dreyfuss
Richard Farnsworth
Richard Gere
Richard Harris
Richard Jenkins
Richard Todd
Ricky Schroder
Riz Ahmed
Robby Benson
Robert Blake
Robert De Niro
Robert Donat
Robert Downey Jr
Robert Duvall
Robert Montgomery
Robert Preston
Robert Redford
Roberto Benigni
Robin Williams
Rock Hudson
Rod Steiger
Roman Griffin Davis
Ron Moody
Ronald Colman
Roy Scheider
Rupert Everett
Russell Crowe
Rutger Hauer
Ryan Gosling
Ryan O'Neal
Ryan Reynolds
Sacha Baron Cohen
Sam Elliott
Sam Neill
Sam Rockwell
Sam Shepard
Sam Waterston
Samuel L Jackson
Sean Penn
Sidney Poitier
Spencer Tracy
Stacy Keach
Stanley Tucci
Stathis Giallelis
Stephen Boyd
Stephen Fry
Stephen Rea
Steve Carell
Steve Martin
Steve McQueen
Steven Bauer
Steven Yeun
Stuart Whitman
Sylvester Stallone
Tahar Rahim
Taron Egerton
Ted Danson
Ted Neeley
Terence Stamp
Terrence Howard
Tim Robbins
Timothy Hutton
Timothée Chalamet
Tobey Maguire
Toby Jones
Tom Conti
Tom Courtenay
Tom Cruise
Tom Ewell
Tom Hanks
Tom Hiddleston
Tom Hulce
Tom Sizemore
Tom Tryon
Tom Wilkinson
Tommy Lee Jones
Tony Curtis
Tony Randall
Topol
Treat Williams
Trevor Howard
Troy Garity
Ugo Tognazzi
Victor McLaglen
Viggo Mortensen
Ving Rhames
Wallace Beery
Walter Huston
Walter Matthau
Walter Pidgeon
Warner Baxter
Warren Beatty
Will Ferrell
Will Smith
Willem Dafoe
William H Macy
William Holden
William Hurt
William Powell
Woody Allen
Woody Harrelson
Yul Brynner
Zero Mostel
Édgar Ramírez
Alfre Woodard
Ali MacGraw
Alicia Silverstone
Alicia Vikander
Alida Valli
Alison Brie
Allison Tolman
America Ferrera
Amy Adams
Amy Irving
Amy Poehler
Andie MacDowell
Andra Day
Angela Bassett
Angelina Jolie
Anjelica Huston
Ann Harding
Ann Jillian
Ann-Margret
Anna Friel
Anna Magnani
Anna Paquin
Anne Bancroft
Anne Baxter
Anne Francis
Anne Hathaway
Anne Heywood
Annette Bening
Annette O'Toole
Anouk Aimée
Anya Taylor-Joy
Ashley Judd
Audrey Hepburn
Ava Gardner
Barbara Bain
Barbara Eden
Barbara Hershey
Barbara Mandrell
Barbara Stanwyck
Barbra Streisand
Bea Arthur
Bernadette Peters
Beryl Reid
Bessie Love
Bette Davis
Bette Midler
Betty Compson
Betty White
Bitty Schram
Björk
Blair Brown
Blythe Danner
Bonnie Bedelia
Bonnie Franklin
Bonnie Hunt
Brenda Blethyn
Brett Butler
Bridget Fonda
Brie Larson
Brooke Shields
Bryce Dallas Howard
Calista Flockhart
Candice Bergen
Carey Mulligan
Carol Burnett
Carol Kane
Carole Lombard
Carolyn Jones
Carrie Snodgress
Carroll Baker
Catalina Sandino Moreno
Cate Blanchett
Catherine Deneuve
Catherine Keener
Catherine O'Hara
Celia Johnson
Charlize Theron
Charlotte Rampling
Cher
Christina Applegate
Christine Lahti
Cicely Tyson
Cindy Williams
Claire Danes
Claudette Colbert
Claudia McNeil
Cloris Leachman
Connie Britton
Corinne Griffith
Courteney Cox
Courtney Love
Cybill Shepherd
Cynthia Erivo
Cynthia Nixon
Daisy Edgar-Jones
Debbie Allen
Debbie Reynolds
Deborah Kerr
Deborah Raffin
Debra Messing
Debra Winger
Demi Moore
Diahann Carroll
Diana Ross
Diana Wynyard
Diane Keaton
Diane Lane
Dinah Shore
Donna Pescow
Donna Reed
Doris Day
Dorothy Dandridge
Dorothy Loudon
Dorothy Malone
Dorothy McGuire
Drew Barrymore
Dyan Cannon
