Emil Jannings
Richard Barthelmess
Warner Baxter 
George Bancroft
Chester Morris
Paul Muni
Lewis Stone
George Arliss
Wallace Beery
Maurice Chevalier
Ronald Colman
Lawrence Tibbett
Lionel Barrymore 
Jackie Cooper
Richard Dix
Fredric March
Adolphe Menjou
Wallace Beery
Fredric March
Alfred Lunt
Charles Laughton 
Leslie Howard
Paul Muni
Clark Gable 
Frank Morgan
William Powell
Victor McLaglen 
Clark Gable
Charles Laughton
Franchot Tone
Paul Muni 
Gary Cooper
Walter Huston
William Powell
Spencer Tracy
Spencer Tracy 
Charles Boyer
Fredric March
Robert Montgomery
Paul Muni
Spencer Tracy 
Charles Boyer
James Cagney
Robert Donat
Leslie Howard
Robert Donat 
Clark Gable
Laurence Olivier
Mickey Rooney
James Stewart
Charlie Chaplin
Henry Fonda
Raymond Massey
Laurence Olivier
Gary Cooper 
Cary Grant
Walter Huston
Robert Montgomery
Orson Welles
James Cagney 
Ronald Colman
Gary Cooper
Walter Pidgeon
Monty Woolley
Paul Lukas 
Humphrey Bogart
Gary Cooper
Walter Pidgeon
Mickey Rooney
Bing Crosby 
Charles Boyer
Barry Fitzgerald
Cary Grant
Alexander Knox
Ray Milland 
Bing Crosby
Gene Kelly
Gregory Peck
Cornel Wilde
Fredric March 
Laurence Olivier
Larry Parks
Gregory Peck
James Stewart
Ronald Colman 
John Garfield
Gregory Peck
William Powell
Michael Redgrave
Laurence Olivier 
Lew Ayres
Montgomery Clift
Dan Dailey
Clifton Webb
Broderick Crawford 
Kirk Douglas
Gregory Peck
Richard Todd
John Wayne
José Ferrer 
Louis Calhern
William Holden
James Stewart
Spencer Tracy
Humphrey Bogart 
Marlon Brando
Montgomery Clift
Arthur Kennedy
Fredric March
Gary Cooper 
Marlon Brando
Kirk Douglas
José Ferrer
Alec Guinness
William Holden 
Marlon Brando
Richard Burton
Montgomery Clift
Burt Lancaster
Marlon Brando 
Humphrey Bogart
Bing Crosby
James Mason
Dan O'Herlihy
Ernest Borgnine 
James Cagney
James Dean
Frank Sinatra
Spencer Tracy
Yul Brynner 
James Dean
Kirk Douglas
Rock Hudson
Laurence Olivier
Alec Guinness 
Marlon Brando
Anthony Franciosa
Charles Laughton
Anthony Quinn
David Niven 
Tony Curtis
Paul Newman
Sidney Poitier
Spencer Tracy
Charlton Heston 
Laurence Harvey
Jack Lemmon
Paul Muni
James Stewart
Burt Lancaster 
Trevor Howard
Jack Lemmon
Laurence Olivier
Spencer Tracy
Maximilian Schell 
Charles Boyer
Paul Newman
Spencer Tracy
Stuart Whitman
Gregory Peck 
Burt Lancaster
Jack Lemmon
Marcello Mastroianni
Peter O'Toole
Sidney Poitier 
Albert Finney
Richard Harris
Rex Harrison
Paul Newman
Rex Harrison 
Richard Burton
Peter O'Toole
Anthony Quinn
Peter Sellers
Lee Marvin 
Richard Burton
Laurence Olivier
Rod Steiger
Oskar Werner
Paul Scofield 
Alan Arkin
Richard Burton
Michael Caine
Steve McQueen
Rod Steiger 
Warren Beatty
Dustin Hoffman
Paul Newman
Spencer Tracy
Cliff Robertson 
Alan Arkin
Alan Bates
Ron Moody
Peter O'Toole
John Wayne 
Richard Burton
Dustin Hoffman
Peter O'Toole
Jon Voight
George C. Scott
Melvyn Douglas
James Earl Jones
Jack Nicholson
Ryan O'Neal
Gene Hackman 
Peter Finch
Walter Matthau
George C. Scott
Chaim Topol
Marlon Brando
Michael Caine
Laurence Olivier
Peter O'Toole
Paul Winfield
Jack Lemmon 
Marlon Brando
Jack Nicholson
Al Pacino
Robert Redford
Art Carney 
Albert Finney
Dustin Hoffman
Jack Nicholson
Al Pacino
Jack Nicholson 
Walter Matthau
Al Pacino
Maximilian Schell
James Whitmore
Peter Finch
Robert De Niro
Giancarlo Giannini
William Holden
Sylvester Stallone
Richard Dreyfuss 
Woody Allen
Richard Burton
Marcello Mastroianni
John Travolta
Jon Voight 
Warren Beatty
Gary Busey
Robert De Niro
Laurence Olivier
Dustin Hoffman 
Jack Lemmon
Al Pacino
Roy Scheider
Peter Sellers

Robert De Niro 
Robert Duvall
John Hurt
Jack Lemmon
Peter O'Toole
Henry Fonda 
Warren Beatty
Burt Lancaster
Dudley Moore
Paul Newman
Ben Kingsley 
Dustin Hoffman
Jack Lemmon
Paul Newman
Peter O'Toole
Robert Duvall 
Michael Caine
Tom Conti
Tom Courtenay
Albert Finney
F. Murray Abraham 
Jeff Bridges
Albert Finney
Tom Hulce
Sam Waterston
William Hurt 
Harrison Ford
James Garner
Jack Nicholson
Jon Voight
Paul Newman 
Dexter Gordon
Bob Hoskins
William Hurt
James Woods
Michael Douglas 
William Hurt
Marcello Mastroianni
Jack Nicholson
Robin Williams
Dustin Hoffman 
Gene Hackman
Tom Hanks
Edward James Olmos
Max von Sydow
Daniel Day-Lewis 
Kenneth Branagh
Tom Cruise
Morgan Freeman
Robin Williams
Jeremy Irons 
Kevin Costner
Robert De Niro
Gérard Depardieu
Richard Harris
Anthony Hopkins 
Warren Beatty
Robert De Niro
Nick Nolte
Robin Williams
Al Pacino 
Robert Downey Jr.
Clint Eastwood
Stephen Rea
Denzel Washington
Tom Hanks 
Daniel Day-Lewis
Laurence Fishburne
Anthony Hopkins
Liam Neeson
Tom Hanks 
Morgan Freeman
Nigel Hawthorne
Paul Newman
John Travolta
Nicolas Cage 
Richard Dreyfuss
Anthony Hopkins
Sean Penn
Massimo Troisi
Geoffrey Rush 
Tom Cruise
Ralph Fiennes
Woody Harrelson
Billy Bob Thornton
Jack Nicholson 
Matt Damon
Robert Duvall
Peter Fonda
Dustin Hoffman
Roberto Benigni 
Tom Hanks
Ian McKellen
Nick Nolte
Edward Norton
Kevin Spacey 
Russell Crowe
Richard Farnsworth
Sean Penn
Denzel Washington
Russell Crowe 
Javier Bardem
Tom Hanks
Ed Harris
Geoffrey Rush
Denzel Washington 
Russell Crowe
Sean Penn
Will Smith
Tom Wilkinson
Adrien Brody 
Nicolas Cage
Michael Caine
Daniel Day-Lewis
Jack Nicholson
Sean Penn 
Johnny Depp
Ben Kingsley
Jude Law
Bill Murray
Jamie Foxx 
Don Cheadle
Johnny Depp
Leonardo DiCaprio
Clint Eastwood
Philip Seymour Hoffman 
Terrence Howard
Heath Ledger
Joaquin Phoenix
David Strathairn
Forest Whitaker 
Leonardo DiCaprio
Ryan Gosling
Peter O'Toole
Will Smith
Daniel Day-Lewis 
George Clooney
Johnny Depp
Tommy Lee Jones
Viggo Mortensen
Sean Penn 
Richard Jenkins
Frank Langella
Brad Pitt
Mickey Rourke
Jeff Bridges 
George Clooney
Colin Firth
Morgan Freeman
Jeremy Renner
Colin Firth 
Javier Bardem
Jeff Bridges
Jesse Eisenberg
James Franco
Jean Dujardin 
Demián Bichir
George Clooney
Gary Oldman
Brad Pitt
Daniel Day-Lewis 
Bradley Cooper
Hugh Jackman
Joaquin Phoenix
Denzel Washington
Matthew McConaughey 
Christian Bale
Bruce Dern
Leonardo DiCaprio
Chiwetel Ejiofor
Eddie Redmayne 
Steve Carell
Bradley Cooper
Benedict Cumberbatch
Michael Keaton
Leonardo DiCaprio 
Bryan Cranston
Matt Damon
Michael Fassbender
Eddie Redmayne
Casey Affleck 
Andrew Garfield
Ryan Gosling
Viggo Mortensen
Denzel Washington
Gary Oldman 
Timothée Chalamet
Daniel Day-Lewis
Daniel Kaluuya
Denzel Washington
Rami Malek 
Christian Bale
Bradley Cooper
Willem Dafoe
Viggo Mortensen
Joaquin Phoenix 
Antonio Banderas
Leonardo DiCaprio
Adam Driver
Jonathan Pryce
Anthony Hopkins 
Riz Ahmed
Chadwick Boseman
Gary Oldman
Steven Yeun
Paul Lukas
Alexander Knox
Ray Milland
Gregory Peck
Ronald Colman
Laurence Olivier
Broderick Crawford
Richard Todd
José Ferrer
Louis Calhern
James Stewart
Fredric March
Kirk Douglas
Arthur Kennedy
Gary Cooper
Ray Milland
Charles Boyer
Spencer Tracy
Marlon Brando
Ernest Borgnine
Kirk Douglas
Karl Malden
Gary Cooper
Burt Lancaster
Charlton Heston
Alec Guinness
Marlon Brando
David Niven
Tony Curtis
Robert Donat
Sidney Poitier
Spencer Tracy
Anthony Franciosa
Richard Burton
Charlton Heston
Fredric March
Joseph Schildkraut
Burt Lancaster
Trevor Howard
Laurence Olivier
Dean Stockwell
Spencer Tracy
Maximilian Schell
Warren Beatty
Maurice Chevalier
Paul Newman
Sidney Poitier
Gregory Peck
Laurence Harvey
Burt Lancaster
Jack Lemmon
James Mason
Paul Newman
Peter O'Toole
Anthony Quinn
Sidney Poitier
Marlon Brando
Stathis Giallelis
Rex Harrison
Steve McQueen
Paul Newman
Gregory Peck
Tom Tryon
Peter O'Toole
Richard Burton
Anthony Franciosa
Fredric March
Anthony Quinn
Omar Sharif
Rex Harrison
Sidney Poitier
Rod Steiger
Oskar Werner
Paul Scofield
Richard Burton
Michael Caine
Steve McQueen
Max von Sydow
Rod Steiger
Alan Bates
Warren Beatty
Paul Newman
Sidney Poitier
Spencer Tracy
Peter O'Toole
Alan Arkin
Alan Bates
Tony Curtis
Cliff Robertson
John Wayne
Alan Arkin
Richard Burton
Dustin Hoffman
Jon Voight
George C. Scott
Melvyn Douglas
James Earl Jones
Jack Nicholson
Ryan O'Neal
Gene Hackman
Peter Finch
Malcolm McDowell
Jack Nicholson
George C. Scott
Marlon Brando
Michael Caine
Laurence Olivier
Al Pacino
Jon Voight
Al Pacino
Robert Blake
Jack Lemmon
Steve McQueen
Jack Nicholson
Jack Nicholson
James Caan
Gene Hackman
Dustin Hoffman
Al Pacino
Jack Nicholson
Gene Hackman
Al Pacino
Maximilian Schell
James Whitmore
Peter Finch
David Carradine
Robert De Niro
Dustin Hoffman
Sylvester Stallone
Richard Burton
Marcello Mastroianni
Al Pacino
Gregory Peck
Henry Winkler
Jon Voight
Brad Davis
Robert De Niro
Anthony Hopkins
Gregory Peck
Dustin Hoffman
Jack Lemmon
Al Pacino
Jon Voight
James Woods
Robert De Niro
John Hurt
Jack Lemmon
Peter O'Toole
Donald Sutherland
Henry Fonda
Warren Beatty
Timothy Hutton
Burt Lancaster
Treat Williams
Ben Kingsley
Albert Finney
Richard Gere
Jack Lemmon
Paul Newman
Tom Courtenay
Robert Duvall
Tom Conti
Richard Farnsworth
Albert Finney
Al Pacino
Eric Roberts
F. Murray Abraham
Jeff Bridges
Albert Finney
Tom Hulce
Sam Waterston
Jon Voight
Harrison Ford
Gene Hackman
William Hurt
Raul Julia
Bob Hoskins
Harrison Ford
Dexter Gordon
William Hurt
Jeremy Irons
Paul Newman
Michael Douglas
John Lone
Jack Nicholson
Nick Nolte
Denzel Washington
Dustin Hoffman
Gene Hackman
Tom Hulce
Edward James Olmos
Forest Whitaker
Tom Cruise
Daniel Day-Lewis
Jack Lemmon
Al Pacino
Robin Williams
Jeremy Irons
Kevin Costner
Richard Harris
Al Pacino
Robin Williams
Nick Nolte
Warren Beatty
Kevin Costner
Robert De Niro
Anthony Hopkins
Al Pacino
Tom Cruise
Robert Downey Jr.
Jack Nicholson
Denzel Washington
Tom Hanks
Daniel Day-Lewis
Harrison Ford
Anthony Hopkins
Liam Neeson
Tom Hanks
Morgan Freeman
Paul Newman
Brad Pitt
John Travolta
Nicolas Cage
Richard Dreyfuss
Anthony Hopkins
Ian McKellen
Sean Penn
Geoffrey Rush
Ralph Fiennes
Mel Gibson
Woody Harrelson
Liam Neeson
Peter Fonda
Matt Damon
Daniel Day-Lewis
Leonardo DiCaprio
Djimon Hounsou
Jim Carrey
Stephen Fry
Tom Hanks
Ian McKellen
Nick Nolte
Denzel Washington
Russell Crowe
Matt Damon
Richard Farnsworth
Kevin Spacey
Tom Hanks
Javier Bardem
Russell Crowe
Michael Douglas
Geoffrey Rush
Russell Crowe
Will Smith
Kevin Spacey
Billy Bob Thornton
Denzel Washington
Jack Nicholson
Adrien Brody
Michael Caine
Daniel Day-Lewis
Leonardo DiCaprio
Sean Penn
Russell Crowe
Tom Cruise
Ben Kingsley
Jude Law
Leonardo DiCaprio
Javier Bardem
Don Cheadle
Johnny Depp
Liam Neeson
Philip Seymour Hoffman
Russell Crowe
Terrence Howard
Heath Ledger
David Strathairn
Forest Whitaker
Leonardo DiCaprio
Leonardo DiCaprio
Peter O'Toole
Will Smith
Daniel Day-Lewis
George Clooney
James McAvoy
Viggo Mortensen
Denzel Washington
Mickey Rourke
Leonardo DiCaprio
Frank Langella
Sean Penn
Brad Pitt
Jeff Bridges
George Clooney
Colin Firth
Morgan Freeman
Tobey Maguire
Colin Firth
Jesse Eisenberg
James Franco
Ryan Gosling
Mark Wahlberg
George Clooney
Leonardo DiCaprio
Michael Fassbender
Ryan Gosling
Brad Pitt
Daniel Day-Lewis
Richard Gere
John Hawkes
Joaquin Phoenix
Denzel Washington
Matthew McConaughey
Chiwetel Ejiofor
Idris Elba
Tom Hanks
Robert Redford
Eddie Redmayne
Steve Carell
Benedict Cumberbatch
Jake Gyllenhaal
David Oyelowo
Leonardo DiCaprio
Bryan Cranston
Michael Fassbender
Eddie Redmayne
Will Smith
Casey Affleck
Joel Edgerton
Andrew Garfield
Viggo Mortensen
Denzel Washington
Gary Oldman
Timothée Chalamet
Daniel Day-Lewis
Tom Hanks
Denzel Washington
Rami Malek
Bradley Cooper
Willem Dafoe
Lucas Hedges
John David Washington
Joaquin Phoenix
Christian Bale
Antonio Banderas
Adam Driver
Jonathan Pryce
Chadwick Boseman
Riz Ahmed
Anthony Hopkins
Gary Oldman
Tahar Rahim
Mahershala Ali
Javier Bardem
Benedict Cumberbatch
Will Smith
Denzel Washington
Fred Astaire
Danny Kaye
Gene Kelly
Donald O'Connor
David Niven
James Mason
Tom Ewell
Cantinflas
Marlon Brando
Yul Brynner
Glenn Ford
Danny Kaye
Frank Sinatra
Maurice Chevalier
Glenn Ford
David Niven
Tony Randall
Danny Kaye
Maurice Chevalier
Clark Gable
Cary Grant
Louis Jourdan
Jack Lemmon
Clark Gable
Cary Grant
Dean Martin
Sidney Poitier
Jack Lemmon
Dirk Bogarde
Cantinflas
Cary Grant
Bob Hope
Glenn Ford
Fred Astaire
Richard Beymer
Bob Hope
Fred MacMurray
Marcello Mastroianni
Stephen Boyd
Jimmy Durante
Cary Grant
Charlton Heston
Karl Malden
Robert Preston
James Stewart
Alberto Sordi
Albert Finney
James Garner
Cary Grant
Jack Lemmon
Frank Sinatra
Jonathan Winters
Rex Harrison
Marcello Mastroianni
Peter Sellers
Peter Ustinov
Dick Van Dyke
Lee Marvin
Jack Lemmon
Jerry Lewis
Jason Robards
Alberto Sordi
Alan Arkin
Alan Bates
Michael Caine
Lionel Jeffries
Walter Matthau
Richard Harris
Richard Burton
Rex Harrison
Dustin Hoffman
Ugo Tognazzi
Ron Moody
Fred Astaire
Jack Lemmon
Walter Matthau
Zero Mostel
Peter O'Toole
Dustin Hoffman
Lee Marvin
Steve McQueen
Anthony Quinn
Albert Finney
Richard Benjamin
Elliott Gould
Jack Lemmon
Donald Sutherland
Topol
Bud Cort
Dean Jones
