Keanu Reeves
Leonardo DiCaprio
Johnny Depp
Tom Cruise
Will Smith
Robert Downey Jr
Brad Pitt
Heath Ledger
Joaquin Phoenix
Jim Carrey
Harrison Ford
Sean Connery
Clint Eastwood
Matthew McConaughey
Alan Rickman
Hugh Jackman
Patrick Swayze
Robert De Niro
Benedict Cumberbatch
Jake Gyllenhaal
Matt Damon
Liam Neeson
Morgan Freeman
Denzel Washington
Samuel L Jackson
Charlie Chaplin
Tom Hanks
Al Pacino
Christian Bale
Mel Gibson
Danny DeVito
John Wayne
Michael Douglas
Jamie Foxx
Jack Nicholson
Bill Murray
Marlon Brando
Gary Oldman
Ralph Fiennes
James Dean
Paul Newman
Charles Robert Redford Jr
Philip Seymour Hoffman
Ian McKellen
Kevin Costner
Kirk Douglas
John Goodman
Christopher Walken
Christopher Plummer
Jeff Bridges
Russell Crowe
Tommy Lee Jones
Clark Gable
Michael Caine
Christoph Waltz
Dwayne Johnson
Dustin Hoffman
Jason Momoa
Christopher Lee
Ryan Reynolds
Chris Hemsworth
Chadwick Boseman
Javier Bardem
Cary Grant
Arnold Schwarzenegger
Bruce Lee
Chris Pratt
Chris Evans
Mark Wahlberg
Bradley Cooper
Zac Efron
Vin Diesel
Paul Walker
Benicio Del Toro
Adam Sandler
Elvis Presley
John Krasinski
Rowan Atkinson
Donald Sutherland
Prince
Tom Hardy
Jackie Chan
Humphrey Bogart
Donald Glover
Idris Elba
Ryan Gosling
Jeremy Irons
Shah Rukh Khan
Eddie Murphy
Kevin Hart
Adam Driver
Cameron Boyce
Nicolas Cage
Daniel Radcliffe
Liam Hemsworth
Tom Hiddleston
Gregory Peck
Rami Malek
Daniel Craig
Johnny Cash
Robert Pattinson
George Clooney
Matthew Perry
Lin-Manuel Miranda
Dick Van Dyke
Bruce Willis
Paul Rudd
James Franco
Steve Carell
Cillian Murphy
Luke Perry
Charlton Heston
Tom Selleck
Channing Tatum
Chris Pine
Sean Penn
Daniel Day-Lewis
Ewan McGregor
Burt Reynolds
James McAvoy
Charlie Sheen
Matt LeBlanc
Michael Fassbender
Michael J Fox
Ben Kingsley
Josh Brolin
Jeffrey Dean Morgan
Dave Bautista
Peter Dinklage
Jack Black
Woody Harrelson
Sebastian Stan
Gerard Butler
Jon Favreau
Sam Elliott
Bill Skarsgard
Patrick Stewart
Richard Burton
Orlando Bloom
Peter O'Toole
Mark Hamill
Michael B Jordan
Henry Fonda
Mark Ruffalo
Amitabh Bachchan
Sidney Poitier
Jeff Goldblum
Ben Affleck
Evan Peters
Jason Bateman
Charlie Hunnam
Steven McQueen
Pierce Brosnan
Will Ferrell
Dave Franco
Gene Wilder
Peter Sellers
Dylan O’Brien
Gene Hackman
Jim Parsons
Laurence Olivier
John Candy
Ben Stiller
Rob Lowe
Dave Chappelle
Oscar Isaac
Alec Guinness
Wentworth Miller
Brendan Fraser
Cole Sprouse
Michael Keaton
Finn Wolfhard
Eddie Redmayne
Stanley Tucci
Richard Gere
David Schwimmer
Hayden Christensen
Robert Mitchum
Owen Wilson
Andrew Garfield
Alan Arkin
James Earl Jones
Ken Jeong
Ian Somerhalder
Joseph Gordon-Levitt
Aamir Khan
Michael Clarke Duncan
James Spader
David Tennant
Jaden Smith
Tim Allen
Jude Law
Seth Rogen
Tim Curry
Hugh Grant
Michael Sheen
Tom Ellis
Kevin Norwood Bacon
Stellan Skarsgård
Richard Madden
Luke Hemsworth
Neil Patrick Harris
Mark Harmon
Jon Voight
Dan Bilzerian
William Shatner
Dean Martin
Dennis Quaid
Christopher Reeve
Jonah Hill
Tobey Maguire
Emilio Estevez
Michele Morrone
Jared Leto
Bill Paxton
Charles Bronson
Colin Farrell
Gaten Matarazzo
Ethan Hawke
Willem Dafoe
Tyler Perry
Billy Bob Thornton
Jean-Claude Van Damme
John Cena
John Ritter
James Marsden
Milo Ventimiglia
Chris Farley
Sean Bean
Steve Buscemi
Mads Mikkelsen
Dolph Lundgren
Aaron Paul
David Harbour
Anton Yelchin
William Holden
John Stamos
Roger Moore
Jon Hamm
Martin Freeman
Casey Affleck
Steve Martin
John Belushi
Sam Claflin
Jamie Dornan
Antonio Banderas
Norman Reedus
Viggo Mortensen
Zachary Levi
Jason Sudeikis
Danny Trejo
Timothée Chalamet
Ralph Macchio
Christopher Lloyd
Thomas Brodie-Sangster
Richard Harris
Jensen Ackles
Patrick Dempsey
Buster Keaton
Sam Rockwell
Nicholas Hoult
Sean Astin
Rupert Grint
Chevy Chase
Hugh Laurie
Gary Cooper
Scott Eastwood
Josh Duhamel
Sharon Stone
Don Johnson
Ashton Kutcher
Mike Myers
Dev Patel
Aaron Taylor-Johnson
Ricky Gervais
John Cusack
Wesley Snipes
Andy Serkis
Shemar Moore
Jesse Eisenberg
John Mulaney
John Travolta
Matt Bomer
Patrick Wilson
Seth MacFarlane
Timothy Olyphant
Elijah Wood
Thomas Felton
Will Arnett
River Phoenix
John Malkovich
Albert Finney
Vince Vaughn
Rob Schneider
Jared Padalecki
Kenneth Branagh
Ryan Phillippe
Bernie Mac
Bill Goldberg
Jon Bernthal
Nick Cannon
Georges St-Pierre
Brandon Lee
Dilip Kumar
Chris Rock
David Spade
Adrien Brody
Laurence Fishburne
Sam Heughan
Jerry Lewis
Nikolaj Coster-Waldau
George C Scott
Michael Landon
Jack Whitehall
Colin Hanks
Song Joong-ki
Matthew Broderick
Jack Lemmon
Wilmer Valderrama
Steve Harvey
Christian Slater
Noah Centineo
Anthony Quinn
LL Cool J
Michael C Hall
Jet Li
Forest Whitaker
Michael Cera
Vincent D Onofrio
Aziz Ansari
Mandy Patinkin
Mr T
Sam Shepard
David Walliams
Lee Marvin
Stephen Amell
Rainn Wilson
Richard Attenborough
Pat Morita
Spike Lee
Travis Fimmel
Jonathan Taylor Thomas
Bob Newhart
David Carradine
Dan Aykroyd
Michael Peña
Stephen Fry
Haley Joel Osment
Chad Michael Murray
Corey Feldman
Sylvester Stallone
Simon Pegg
Josh Hartnett
Henry Winkler
Leonard Nimoy
JJ Abrams
Mickey Rourke
Stephen Baldwin
Chiwetel Ejiofor
Michael Shannon
Giancarlo Esposito
Charlie Murphy
Martin Lawrence
Josh Gad
Bob Odenkirk
Joe Manganiello
Hafþór Júlíus Björnsson
Josh Groban
Carl Weathers
Gene Simmons
Mark Strong
Ludacris
Mickey Rooney
Danny Glover
James Brolin
Eric Roberts
James Garner
Paul Hogan
Sam Neill
Will Poulter
Damon Wayans
David Arquette
James Cagney
Robbie Amell
Rick Moranis
Warren Beatty
Paul Wesley
David Hasselhoff
John Boyega
Patton Oswalt
Daveed Diggs
Luke Wilson
Lee Jong–suk
James Caan
Edge (Wrestler)
Timothy Francis Robbins
Guy Pearce
Don Knotts
Aidan Gallagher
James Woods
Jerry Stiller
Ranbir Kapoor
Ed O’Neill
Gabriel Macht
Tommy Chong
Matthew Goode
Luke Evans
Andy Garcia
Peter Sarsgaard
Park Seo-joon
Dermot Mulroney
